STN,pcpt_1,pcpt_2,pcpt_3,pcpt_4,temp_1,temp_2,temp_3,temp_4,tldn
LAT,26.51077,26.51077,23.72017,23.72017,26.51077,26.51077,23.72017,23.72017,28.308611
LON,-92.8125,-95.625,-95.625,-92.8125,-92.8125,-95.625,-95.625,-92.8125,-98.556944
