xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=29, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	06.0
cpt:Y	30.751289900000000
cpt:X	-98.669759900000003
1987	456.25088247870002
1988	0.0000000000000000
1989	578.11256973136096
1990	611.97093055143023
1991	696.47919851630286
1992	825.87936981100506
1993	813.91615709329051
1994	812.71291118019440
1995	563.86060791918771
1996	412.16926889018578
1997	472.21509291742649
1998	743.36058447193932
1999	342.03054876468917
2000	587.30676337058935
2001	409.15167406149828
2002	810.04459194897140
2003	774.58995786596915
2004	828.07327231408067
2005	603.86142517524058
2006	712.76804269934439
2007	414.83738773924404
2008	580.86615517644236
2009	40446.950778536760
2010	728.17822260360083
2011	672.19995802830522
2012	690.83979223889287
2013	557.71263815689417
2014	651.22395318487645
2015	499.92752676638452
