xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=58, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	12.0
cpt:Y	30.751289900000000
cpt:X	-98.669759900000003
1958	422.74828709022819
1959	442.57465074992729
1960	448.99030551974749
1961	462.38137943116192
1962	432.40201475877330
1963	405.06739153805353
1964	433.19390845889933
1965	373.38905181435985
1966	429.78020579363653
1967	412.45194160700049
1968	400.77281259691080
1969	413.36662260326796
1970	432.20451817013895
1971	413.20686167556539
1972	400.80607545937124
1973	479.18608777038196
1974	408.65370744629053
1975	447.30057938086657
1976	349.07831819158196
1977	424.69835982069372
1978	404.70671449736983
1979	450.20915635699231
1980	401.48143493736802
1981	421.06177275123406
1982	358.78405409100162
1983	445.10112630099411
1984	451.70442816815972
1985	429.50734793522872
1986	367.43602195522567
1987	400.10517931676918
1988	465.01578851447846
1989	426.37600812592990
1990	419.99528893384053
1991	385.36768630877299
1992	374.89272461905688
1993	384.19609947712593
1994	363.65949185272052
1995	439.30929323960339
1996	388.75810388129838
1997	357.84468341715365
1998	438.03781906676147
1999	473.36375916151309
2000	427.80573138732194
2001	444.95596707282448
2002	390.08766908768922
2003	432.47714091260423
2004	418.91366569211061
2005	404.95938223199596
2006	428.59199684684830
2007	468.29936755198872
2008	472.84447313089106
2009	395.33089951573118
2010	465.26178350946373
2011	443.77027979542453
2012	426.79355573682568
2013	424.94040745409603
2014	390.48629788236155
2015	367.08111598128966
