xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=58, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	09.0
cpt:Y	30.751289900000000
cpt:X	-98.669759900000003
1958	375.67895414767418
1959	348.92899925792136
1960	322.00398942606085
1961	351.61575526053213
1962	333.28107694996334
1963	337.39531290547598
1964	404.80911095335000
1965	412.44798390005377
1966	375.57006918053145
1967	356.81747839436935
1968	385.80814056872123
1969	330.69104297339254
1970	353.91717872483883
1971	358.46782034014331
1972	422.33060554334656
1973	302.35273617402771
1974	380.16179434806133
1975	332.50535913182176
1976	373.06619144272787
1977	370.57958192448723
1978	363.63982401354400
1979	378.85736956609526
1980	512.50497379053411
1981	354.60914117762252
1982	392.91865130999304
1983	229.61375273605734
1984	398.18713282080091
1985	326.46853948295973
1986	287.17626120375172
1987	273.07215096430031
1988	288.57089928063510
1989	309.27815129530961
1990	366.70680730048787
1991	351.97547076875082
1992	326.62780116362342
1993	364.25105030391245
1994	379.17391543177087
1995	327.27019373101092
1996	341.77166826369285
1997	393.48045395530187
1998	335.40421563487484
1999	298.46315016231443
2000	293.93324525389068
2001	273.12069906884074
2002	336.59019232544762
2003	246.62622311214125
2004	282.18037391805780
2005	262.28917811260874
2006	267.36677520881580
2007	231.31444760371369
2008	292.46534446553034
2009	281.75091236352586
2010	228.75972747469189
2011	352.19250076214485
2012	338.35643182867381
2013	200.38935906814493
2014	301.34327955877455
2015	522.29473129368478
