xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=58, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	05.0
cpt:Y	30.751289900000000
cpt:X	-98.669759900000003
1958	544.25658954295773
1959	396.73384268409700
1960	469.77094507623457
1961	520.23573819634680
1962	511.35947524625254
1963	576.80304714469446
1964	414.00110241644148
1965	567.86061340155425
1966	601.40620766145639
1967	418.98555107834699
1968	554.81063722813496
1969	484.04050783911867
1970	459.02121677580686
1971	666.37043282077570
1972	509.29504216920037
1973	373.61705487628757
1974	378.03663761071670
1975	368.39086013314136
1976	342.02629955767765
1977	538.70842411631213
1978	426.01878883072698
1979	487.46380522581489
1980	527.64292672961824
1981	446.26519035294183
1982	418.82019030040783
1983	857.94213793924837
1984	489.95163176013222
1985	515.86473515580803
1986	544.67065894826408
1987	657.12773488054484
1988	377.78688352289231
1989	626.95734010438287
1990	342.37473151002553
1991	218.65110438914664
1992	620.31785533077027
1993	538.58685159507786
1994	534.21490977112830
1995	511.38312254278884
1996	507.35581842476086
1997	599.48175303939331
1998	666.63542373605014
1999	313.74824354977386
2000	381.02668420645875
2001	638.86603589142521
2002	433.58674626899040
2003	489.30062622034865
2004	437.94559976207893
2005	506.44555288551186
2006	274.04430217323829
2007	278.46309831949429
2008	461.20793478525422
2009	447.66167890168737
2010	494.41181948760425
2011	434.39109272069402
2012	437.16760623588550
2013	422.48719466341254
2014	534.26225335594256
2015	427.68601873799639
