xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=29, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	10.0
cpt:Y	30.751289900000000
cpt:X	-98.669759900000003
1987	785.48942956918768
1988	576.60978386245733
1989	108.82047952193625
1990	752.53170597602559
1991	56.702645489540373
1992	238.06728694536633
1993	370.57089083416503
1994	604.12129388299309
1995	444.05728240783247
1996	551.05483049640782
1997	0.0000000000000000
1998	1120.0080143006667
1999	978.22125338841829
2000	16950.687264600165
2001	652.01915449409239
2002	644.41723542849513
2003	689.36605523426920
2004	414.14264496658853
2005	714.46793101482456
2006	527.87773818462858
2007	732.21068865043821
2008	725.51311580664139
2009	383.08318370840590
2010	854.49445755431213
2011	650.23098999224180
2012	491.14289610299039
2013	456.06381057864138
2014	505.26120437754975
2015	212.18180546416289
