xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=29, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	11.0
cpt:Y	30.751289900000000
cpt:X	-98.669759900000003
1987	411.36633408581696
1988	635.98968381882753
1989	561.78266628478445
1990	414.91524030015682
1991	415.57218365181478
1992	399.79474846622429
1993	510.30499062434581
1994	442.39001713430014
1995	581.92241094160272
1996	470.59276869318143
1997	414.73264554221078
1998	716.10677532265424
1999	626.31038357077512
2000	561.02099561074772
2001	534.88307128274221
2002	428.03703121484688
2003	562.52134465650920
2004	401.95860045320671
2005	501.52407741606942
2006	441.54021505105362
2007	542.36501012414567
2008	655.38605645293933
2009	445.29514829616807
2010	690.10720478595761
2011	587.92751747072430
2012	442.04090553374829
2013	501.49027423194360
2014	498.89856504010953
2015	422.99318584252848
