xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=58, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	10.0
cpt:Y	30.751289900000000
cpt:X	-98.669759900000003
1958	347.01636444063786
1959	285.58031613841570
1960	219.49167674559857
1961	604.30014800195636
1962	514.21367951010734
1963	498.14886118673343
1964	628.48659847493491
1965	492.72653374394451
1966	642.90210021233850
1967	789.70906370950263
1968	408.58882162649701
1969	496.48023316661903
1970	539.56555150754843
1971	411.75260169283183
1972	-14.725464227435054
1973	148.00121739403573
1974	477.20913260332401
1975	766.73664096656239
1976	465.14438366432080
1977	487.02440134026142
1978	477.16948647969218
1979	580.63683778720076
1980	500.81374091951511
1981	554.69662648649989
1982	344.57346898374976
1983	714.52425479644944
1984	659.33940558012273
1985	441.23963430643511
1986	315.34565281331288
1987	386.81921120155647
1988	720.71023168413569
1989	604.05128323603162
1990	372.38165207370452
1991	566.67715494970582
1992	649.64991733643978
1993	431.38373902943619
1994	521.19236814465341
1995	563.59297136189150
1996	533.53995815599399
1997	432.20554389734724
1998	572.37983914408460
1999	689.64540646135197
2000	719.05853220618405
2001	513.35283337575243
2002	418.95745983140415
2003	682.97107405399788
2004	448.76853369952875
2005	447.60196159621091
2006	410.11907625434964
2007	451.68788222264072
2008	606.84863631083613
2009	185.03347550971597
2010	855.82754772442991
2011	621.80306231412465
2012	359.77840079057199
2013	496.62833375266075
2014	521.95336618258682
2015	231.58128110637443
