xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=29, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	08.0
cpt:Y	30.751289900000000
cpt:X	-98.669759900000003
1987	255.03032454191251
1988	256.74519677722139
1989	255.68016384773114
1990	256.16410712983873
1991	255.88318136883649
1992	254.37565763931434
1993	255.39823491622516
1994	255.43672740630041
1995	256.00497527472072
1996	255.79494271864803
1997	255.77889137824485
1998	255.96444659782978
1999	256.39870668215389
2000	255.41888810655078
2001	255.54878914601201
2002	254.23566530751117
2003	255.32987236382897
2004	254.50857853205983
2005	255.41655173554591
2006	254.90571323473387
2007	254.72028765437247
2008	255.64061278366171
2009	256.61624798451828
2010	255.07801368074095
2011	256.12761504634972
2012	256.75238609958654
2013	255.11172490256635
2014	255.50862262688361
2015	256.92159539957743
