xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=29, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	06.0
cpt:Y	30.751289900000000
cpt:X	-98.669759900000003
1987	483.65149939491727
1988	501.41215188221895
1989	488.33494849237110
1990	470.88682499685746
1991	483.84125985104896
1992	495.72440867947745
1993	498.69276899731381
1994	508.81836102916719
1995	468.53147657639710
1996	469.79052405572003
1997	479.21041078182839
1998	482.79019941899679
1999	453.35316396855495
2000	470.41123927262367
2001	490.49631383562837
2002	470.52391438865220
2003	468.04686248297503
2004	483.64353668485450
2005	463.46337919095765
2006	468.30773839735519
2007	465.39749696951333
2008	466.75354363100189
2009	469.60110671218041
2010	452.93241851154363
2011	459.36647022460778
2012	480.89255378857342
2013	469.36157532844180
2014	457.52663327457662
2015	488.02012462350632
