xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=58, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	06.0
cpt:Y	30.751289900000000
cpt:X	-98.669759900000003
1958	480.53082190675383
1959	485.68921506268856
1960	484.86587904172018
1961	483.36633361846367
1962	479.83452943282862
1963	482.69088460899320
1964	480.44365781983117
1965	487.39785498264229
1966	483.33877068687866
1967	481.23350343096155
1968	487.12859563655110
1969	482.12884380525196
1970	484.04235130406329
1971	484.77627897803399
1972	485.03445235270840
1973	476.51161274894991
1974	480.19477341790309
1975	480.36576234310985
1976	485.04566068267485
1977	481.21319575571403
1978	484.75951546220278
1979	487.05104465760149
1980	484.89639508807738
1981	486.48517945589754
1982	481.83171163013651
1983	486.48964771325018
1984	475.92762954166079
1985	474.13690537546654
1986	486.53877845954332
1987	484.85569144384107
1988	476.41447969230029
1989	479.02343155544224
1990	483.59273069046122
1991	481.54398891811985
1992	483.46423336036497
1993	490.32488139975089
1994	482.57223024552673
1995	481.18402484065558
1996	482.60703064890794
1997	487.39190756577273
1998	477.66025002092073
1999	473.65022953838093
2000	477.71613338054732
2001	476.69195069478900
2002	480.43554448339313
2003	478.77861142509045
2004	476.77783587770159
2005	477.55114859693617
2006	480.76390571095146
2007	482.43878125077214
2008	474.64981047931389
2009	482.90632519367546
2010	480.06801637943454
2011	479.03395497360373
2012	482.37335435207189
2013	473.47406332504340
2014	483.22752446090385
2015	486.39940212943316
