xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=29, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	09.0
cpt:Y	30.751289900000000
cpt:X	-98.669759900000003
1987	348.31380344067134
1988	311.03518920382453
1989	321.52351276463997
1990	338.12834709651173
1991	341.75885994217487
1992	349.08377624851818
1993	383.95867987580561
1994	354.35354479651289
1995	334.10454524540819
1996	326.87516063241901
1997	368.62025331087318
1998	311.66422909015006
1999	313.04121266816327
2000	322.37527004102793
2001	321.38318492298941
2002	342.22064290209448
2003	329.70694959655737
2004	357.75211065578833
2005	340.17348156078941
2006	329.31149408829208
2007	305.32527808550333
2008	331.63356119901187
2009	353.88082964651494
2010	288.90514420391571
2011	311.57811169497904
2012	345.03385153306021
2013	335.15820320121321
2014	358.44743710809882
2015	372.25501133449342
