xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=29, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	05.0
cpt:Y	30.751289900000000
cpt:X	-98.669759900000003
1987	547.28679372760007
1988	237.90994787438439
1989	940.49739052342591
1990	324.60816101253340
1991	436.06143165263774
1992	432.19998758267081
1993	401.97145103564498
1994	545.36799275268004
1995	532.98427296540888
1996	536.08810214814753
1997	545.49454970878696
1998	602.20795439787980
1999	432.19480019494137
2000	457.43634766747294
2001	655.86078098540054
2002	409.69253555291630
2003	456.73425643131060
2004	313.83522052888918
2005	415.92458180591302
2006	267.11332930592476
2007	305.10030352545260
2008	460.40147319632121
2009	458.59767408301019
2010	601.22331092271020
2011	522.76782093014197
2012	500.24047572255472
2013	492.70899101669829
2014	494.74112632914807
2015	425.52535524457704
