xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=29, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	04.0
cpt:Y	30.751289900000000
cpt:X	-98.669759900000003
1987	188.13594539665377
1988	2.8716153753929348
1989	9.9974665292002101
1990	525.24861548567048
1991	244.68955828331698
1992	913.81554811821479
1993	593.21371762496960
1994	224.42140336761105
1995	553.27470460596328
1996	131.87316054824805
1997	779.83546478346398
1998	102.42366615730964
1999	0.0000000000000000
2000	149.64591566792188
2001	440.72187954384640
2002	299.04267611394187
2003	180.65297732661216
2004	643.24034735508701
2005	345.44103468789115
2006	216.64169913408685
2007	315.16453230738949
2008	79.841261308005528
2009	423.17591599896969
2010	0.0000000000000000
2011	269.63830092187368
2012	327.24137390235137
2013	433.58333523196575
2014	311.68434164055918
2015	248.30650973782258
