xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=29, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	06.0
cpt:Y	28.736644290000001
cpt:X	-99.144755599999996
1987	129.03232938861890
1988	159.68526692685964
1989	150.81968849580062
1990	189.08133632288514
1991	183.58298879292946
1992	190.57826793188266
1993	182.72093366602971
1994	210.59121310404061
1995	120.53089522840617
1996	137.99050589186521
1997	162.71218590094011
1998	161.24857566125235
1999	73.490880055772777
2000	146.91591283859276
2001	171.94736717335607
2002	142.37582611187810
2003	134.35870878790155
2004	164.96650044534067
2005	128.05274101020760
2006	121.09831145098461
2007	159.54909467354437
2008	138.64927448107892
2009	152.49970262434084
2010	103.27867604711824
2011	102.28719165643651
2012	123.74190948722298
2013	117.01554827155655
2014	108.75974883510858
2015	177.57220706235776
