xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=29, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	09.0
cpt:Y	28.736644290000001
cpt:X	-99.144755599999996
1987	213.66436919122955
1988	156.69419129354964
1989	132.14757244212652
1990	212.11821193293713
1991	159.01507305613569
1992	153.89210535771420
1993	238.51984243020149
1994	194.43778793146910
1995	131.45115271960094
1996	175.16495150797579
1997	245.21665749384397
1998	194.87771073367969
1999	152.77685372974241
2000	121.77938113134149
2001	150.59990663052625
2002	161.65689802298803
2003	169.78202909559445
2004	179.57018814919172
2005	190.84549103847377
2006	160.13610762119640
2007	126.78350096212762
2008	149.62564055026522
2009	187.04515655569764
2010	106.13675343306733
2011	137.79403988734737
2012	167.04967297192374
2013	145.88787742544883
2014	215.85582062292019
2015	283.74619266716769
