xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=29, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	10.0
cpt:Y	28.736644290000001
cpt:X	-99.144755599999996
1987	128.13551191156748
1988	141.52555881056310
1989	138.27448762747591
1990	120.37357291703846
1991	127.44471317867644
1992	121.30162728246218
1993	121.04820365098468
1994	123.54803628427487
1995	134.40901672547940
1996	134.67453337697074
1997	125.05691805333763
1998	145.59918148080556
1999	154.33682246019814
2000	143.34029620804483
2001	133.34101295375478
2002	127.13395965134374
2003	132.91689916818336
2004	127.53079937775843
2005	132.94558629609710
2006	131.87670993937266
2007	140.67847124445260
2008	141.39380570797096
2009	126.13782492750001
2010	147.95227089850161
2011	146.86682423214867
2012	131.66670696062960
2013	134.07511927768442
2014	119.45643928845723
2015	118.72501691647314
