xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=29, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	06.0
cpt:Y	28.736644290000001
cpt:X	-99.144755599999996
1987	176.54196187895818
1988	143.56549355990958
1989	169.01636975938484
1990	139.28017272475429
1991	141.77163359549024
1992	146.92677196075374
1993	152.11773053327698
1994	160.58119003799968
1995	147.77121334124109
1996	167.10380405411485
1997	187.95354621623150
1998	145.46244717352212
1999	141.12115694046955
2000	137.17748148892204
2001	143.49072984073717
2002	178.55735340939708
2003	134.86055392034243
2004	177.45671432186529
2005	139.07239650889014
2006	122.49727076094857
2007	122.02784180918499
2008	133.70900297827615
2009	152.79554331239157
2010	105.01140948435389
2011	125.74951664083714
2012	171.60907426022388
2013	130.26508112979931
2014	135.28989000170708
2015	146.83108423041537
