xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=58, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	09.0
cpt:Y	28.736644290000001
cpt:X	-99.144755599999996
1958	169.33467286141436
1959	218.80723574798708
1960	223.68014848878556
1961	200.05184030433543
1962	194.61874103406274
1963	212.80073555673789
1964	145.35762063741726
1965	283.58033015091382
1966	201.24727884510904
1967	168.12120427398941
1968	218.97624539285539
1969	224.72805906642708
1970	165.74408334878842
1971	150.20573849998206
1972	256.48528129372335
1973	134.57559776611660
1974	79.709840082957541
1975	157.88366587467877
1976	151.08897086757187
1977	220.37484166728385
1978	140.33428241822395
1979	223.04741111203117
1980	183.98913040158016
1981	180.60373859952040
1982	216.89150636990615
1983	146.77141679983649
1984	177.84931288097397
1985	165.65859986876987
1986	164.48107995284033
1987	197.38192766402580
1988	134.59969623356679
1989	140.24754243528457
1990	160.26146174496586
1991	133.61451731030292
1992	139.99080965090161
1993	214.03729551372686
1994	173.37265936398782
1995	151.09166126519443
1996	193.12841407821699
1997	276.14783514318441
1998	178.66836649482266
1999	132.01723998160168
2000	92.259342617558701
2001	123.24268168652202
2002	106.29448827168265
2003	117.84712197606675
2004	200.31938614056733
2005	169.49662420047247
2006	136.77789255707214
2007	95.216199309784841
2008	181.17630103362680
2009	204.05218434689814
2010	86.319787414317020
2011	181.39903477029341
2012	237.51484925142606
2013	168.04871923994187
2014	246.19518710512170
2015	300.47774433117849
