xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=58, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	06.0
cpt:Y	28.736644290000001
cpt:X	-99.144755599999996
1958	159.13875442699359
1959	161.83233812884720
1960	157.25438713582949
1961	158.23661700245526
1962	152.63244515662799
1963	162.24103418101913
1964	149.08049579108686
1965	164.96440998935796
1966	155.94890780487680
1967	151.65341160177698
1968	170.36533928020393
1969	152.38325654294596
1970	159.41269924449520
1971	157.71946034411596
1972	167.94204426081436
1973	143.49706876046159
1974	148.01832420674521
1975	146.49762770610312
1976	159.15534615541102
1977	153.96388682970462
1978	160.85885164554483
1979	164.82894354310903
1980	158.44718264402596
1981	167.68468331063545
1982	155.54077052781287
1983	144.75764810716220
1984	146.16307885252414
1985	143.14816151541703
1986	165.04684092742278
1987	165.73271265627557
1988	145.65704399089205
1989	145.80625349455067
1990	158.39233064461314
1991	143.52153820573938
1992	159.69703595922158
1993	167.94397253166119
1994	153.20382689193653
1995	146.10186974205709
1996	149.40273348690934
1997	166.00505453045190
1998	144.94751053168525
1999	131.02691663801124
2000	135.77991325917412
2001	138.31852836702799
2002	148.96631274148626
2003	148.62707766654256
2004	158.18034928995465
2005	144.76473320204738
2006	145.89357076740731
2007	136.39301087823117
2008	138.69470895887733
2009	148.34677205090526
2010	136.75885168408615
2011	150.33912899062202
2012	160.93157419513386
2013	135.24755949411596
2014	158.77424876638813
2015	162.33488560825262
