xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=29, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	09.0
cpt:Y	33.619494899999999
cpt:X	-110.92150370000000
1987	495.10390198768994
1988	423.41218703025248
1989	407.06484770393985
1990	477.87120239920409
1991	468.62174180184309
1992	318.53827938297712
1993	371.83816526605051
1994	380.95870630889942
1995	714.91458387515149
1996	453.38200282091270
1997	370.96213055247318
1998	507.80553773507017
1999	476.32466304192980
2000	466.28991042916084
2001	415.83487501151853
2002	402.38498763505640
2003	445.21428365858714
2004	397.68481323235130
2005	455.97753719010439
2006	435.79676434895242
2007	458.73867827666362
2008	461.75284233059739
2009	498.07296211084434
2010	433.60817357839858
2011	429.87943000603383
2012	399.92652468995072
2013	592.57228327857410
2014	694.75823811527800
2015	633.57226556004844
