xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=29, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	05.0
cpt:Y	33.619494899999999
cpt:X	-110.92150370000000
1987	2253.7144303732425
1988	2012.3046841956493
1989	2466.2237813098964
1990	1457.0867173666309
1991	2291.5111899527715
1992	3556.0181946997545
1993	3106.9785218331062
1994	2255.6917282106479
1995	2251.1374257621760
1996	1538.4039209975172
1997	2840.0844593985557
1998	2624.3618776222661
1999	36.675444681997988
2000	1060.6323230164303
2001	1292.7076120817201
2002	2265.6438655411944
2003	1943.4860754784888
2004	1563.7451282575080
2005	3287.5230861650280
2006	2303.7685453321988
2007	3100.6829812929200
2008	1723.1857365328112
2009	1351.6588274296773
2010	45764.451643765278
2011	2447.2098457991488
2012	1596.1665608807161
2013	919.94539606952276
2014	1497.9235335280773
2015	856.16195756663546
