xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=29, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	07.0
cpt:Y	33.619494899999999
cpt:X	-110.92150370000000
1987	424.29266167932514
1988	353.84563740516609
1989	186.58516785693530
1990	419.10507475434571
1991	315.19351697175136
1992	468.73919367514793
1993	346.56810781539735
1994	238.13690705089007
1995	402.15526423495857
1996	332.22442634136155
1997	335.75103667288835
1998	375.96138071056828
1999	362.52981256342571
2000	267.17769882772456
2001	283.39390485638177
2002	280.51360116157304
2003	229.13750214137946
2004	265.11388385000993
2005	462.54603279863545
2006	437.04577911213335
2007	351.76605449005251
2008	271.74754658639591
2009	0.0000000000000000
2010	349.68277919574984
2011	721.75294460586474
2012	653.70958519585452
2013	618.91264682431370
2014	326.96923854482247
2015	0.0000000000000000
