xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=58, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	02.0
cpt:Y	33.619494899999999
cpt:X	-110.92150370000000
1958	1680.1126528216291
1959	261.76904136413168
1960	-221.63879372243036
1961	2056.3080572188032
1962	945.81644010367518
1963	-25.660850870913237
1964	1107.5136861236033
1965	1285.9940848555584
1966	-231.96302831844469
1967	266.78737502016929
1968	-803.04153647446992
1969	1571.3017317848671
1970	711.17362954497275
1971	1899.5523621856505
1972	706.55201655866222
1973	983.90477327433837
1974	76.948601533430974
1975	2849.7716789143656
1976	444.93108329372672
1977	1349.6547524242769
1978	1068.4142467505881
1979	348.13176707371122
1980	1124.6522488700853
1981	752.44869276742429
1982	746.25190626292988
1983	2788.0158048771591
1984	543.29721002733277
1985	2018.9649815089788
1986	466.10042867760831
1987	493.34953701497625
1988	1685.9486696991889
1989	937.10660068793823
1990	666.59069248762262
1991	45.376806996987398
1992	1183.1515089712293
1993	2542.0741027411700
1994	412.13160754353976
1995	1602.0902282957841
1996	1148.5552114213265
1997	929.15352084111964
1998	467.24841188389837
1999	1507.3099152219625
2000	1426.4038186227049
2001	1193.1543303284352
2002	657.02642959965397
2003	1283.7519877257723
2004	802.69808829625799
2005	1062.9101412591481
2006	1240.1266905685347
2007	1760.4267744030699
2008	1282.4518426466175
2009	1078.5733035243900
2010	-355012.21798462857
2011	600.50547252170497
2012	355.75893163534374
2013	1135.2703771836486
2014	796.31508411258483
2015	1216.8046356617642
