xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=58, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	03.0
cpt:Y	33.619494899999999
cpt:X	-110.92150370000000
1958	1755.6348361205789
1959	1190.5382261982197
1960	1491.6595537150399
1961	1264.2024670184583
1962	1128.9406021147713
1963	813.32694652641203
1964	1386.8568747307625
1965	1241.7558229537556
1966	1188.7914222352351
1967	1547.3519853246560
1968	1621.2968901157856
1969	1810.3014914259813
1970	1551.8921707496006
1971	1214.8307286052966
1972	1597.1132752987553
1973	1266.3594650010616
1974	862.36033014714940
1975	1544.4705698511118
1976	1213.8217911667791
1977	1917.7349135365153
1978	1849.2147786523451
1979	1309.8710581153448
1980	1200.9703720568095
1981	1406.0907898697953
1982	1116.3232170255937
1983	1809.9940562781119
1984	1070.3852594938003
1985	906.28306504329771
1986	1323.3636007463808
1987	1839.6918639886837
1988	1369.6616648734810
1989	1188.9885028176438
1990	1631.6523846842401
1991	1764.8214974867412
1992	1524.2704281947445
1993	1707.2187721094399
1994	1154.2661594904255
1995	1741.5854255601203
1996	468.17004602553288
1997	1361.8246539947713
1998	1861.1706458837114
1999	1109.2759489781106
2000	1147.3156863483159
2001	1011.6298345353268
2002	980.90993345049696
2003	990.35826581958236
2004	1500.2847041224809
2005	1938.0299953145259
2006	1182.2379083602666
2007	1982.8660843682990
2008	1128.4786719386859
2009	813.51209672824905
2010	6672.7264120867731
2011	1095.3154694056050
2012	1166.3496024234271
2013	885.20046275655000
2014	1305.8305384676344
2015	1641.4414209008960
