xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=29, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	12.0
cpt:Y	33.619494899999999
cpt:X	-110.92150370000000
1987	383.51481150947149
1988	382.65052606535841
1989	385.51542253284111
1990	405.69610382919819
1991	415.81197772104736
1992	412.03599971507521
1993	389.70375313001534
1994	434.28352809330039
1995	393.52258378764827
1996	397.98189927879349
1997	448.98121338839138
1998	343.01291270252642
1999	337.43709713774155
2000	404.68632238222813
2001	387.64140726360074
2002	397.05438810359601
2003	382.02756180881988
2004	358.02840765708902
2005	363.68269003701772
2006	376.25102589099555
2007	349.62150975020529
2008	359.18029731906802
2009	371.26252777806485
2010	312.25062046394959
2011	358.05164496098200
2012	376.59700852331463
2013	375.55995304970457
2014	376.59257172663700
2015	450.52734161576774
