xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=29, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	05.0
cpt:Y	33.619494899999999
cpt:X	-110.92150370000000
1987	2999.9586852528869
1988	1463.9832440047544
1989	0.0000000000000000
1990	641.32162797608737
1991	1596.5760291881129
1992	2261.3808664160342
1993	2598.2570567427802
1994	666.00823428066121
1995	1088.6132764319000
1996	565.13651443438062
1997	146.39439087296876
1998	2049.0059516106903
1999	1163.7232811301965
2000	168.64292467198686
2001	0.0000000000000000
2002	751.07619513062832
2003	534.59626877424000
2004	451.74218937116950
2005	1566.9374304184057
2006	1016.8401218769686
2007	803.08073969323129
2008	103.95806752960277
2009	620.46510011034206
2010	2018.3595004423496
2011	585.06206565858713
2012	286.40342390775072
2013	578.60759981476406
2014	430.97539644015365
2015	622.08294763425488
