xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=58, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	06.0
cpt:Y	33.619494899999999
cpt:X	-110.92150370000000
1958	787.85933287222929
1959	739.47201150302431
1960	893.91429684953255
1961	849.65375583339664
1962	630.52902828632568
1963	710.12565057428651
1964	897.85478198467854
1965	1041.1863411370462
1966	1122.8902705765113
1967	955.83009852971691
1968	1264.4899653417026
1969	865.62364936363952
1970	972.03594752636639
1971	1334.9746501536174
1972	1242.0358951397825
1973	1331.7085763844495
1974	1133.5350485190829
1975	1096.6818727707357
1976	949.40256457319924
1977	1219.4108581666005
1978	1147.4612371069147
1979	1178.3788652789096
1980	1308.3019077767569
1981	924.93814626693529
1982	865.45484349797016
1983	1255.0130888797164
1984	896.63867249259488
1985	964.48647232010285
1986	646.19883412518971
1987	835.49562243556727
1988	1195.8397299393014
1989	726.18009984575326
1990	747.38962991063374
1991	969.36020295008325
1992	845.26708000647193
1993	653.91211792230376
1994	876.92195232679228
1995	889.92319246000488
1996	747.67334645876565
1997	825.07644937703481
1998	942.05775802858489
1999	694.42727607828306
2000	850.33873797493243
2001	643.14471104882716
2002	772.97465939904669
2003	1048.9865850245351
2004	792.91306442557868
2005	900.88650758636970
2006	744.30439455601618
2007	904.60848205308491
2008	1030.2621760390175
2009	911.75487430998794
2010	1247.0554302869264
2011	1288.8475910821458
2012	712.94788678399732
2013	879.00086966431763
2014	857.82395019180126
2015	506.37357562923512
