xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=58, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	08.0
cpt:Y	33.619494899999999
cpt:X	-110.92150370000000
1958	254.58028095701570
1959	254.81937246826956
1960	253.74823413600245
1961	255.51735725279644
1962	253.04717110714333
1963	256.18020000932847
1964	250.67711606898038
1965	254.02694516665488
1966	253.00263994433340
1967	257.45604308226604
1968	257.88631260030462
1969	253.89376235899960
1970	253.22703893931117
1971	256.60682388326745
1972	259.28876603262302
1973	247.50588437698687
1974	252.97452836636620
1975	252.32409570582246
1976	252.86199448496902
1977	253.74113471044666
1978	254.10079054505152
1979	259.62640527813090
1980	256.12570426364221
1981	253.64249494957181
1982	259.98746183840188
1983	251.29661858418973
1984	248.36586891310068
1985	256.26910204574557
1986	253.22508762647831
1987	257.97495632586350
1988	252.88227176061790
1989	252.98948097823734
1990	256.72768227591689
1991	254.50465645613210
1992	260.07709910034941
1993	264.69735511435181
1994	257.31586170283617
1995	256.61951292912750
1996	256.29993626764150
1997	261.07377972228721
1998	246.65903189184607
1999	245.57613496649594
2000	248.61827561661670
2001	250.62498216046333
2002	254.14292330038086
2003	251.87896005739893
2004	255.40647626441185
2005	258.01594927459450
2006	252.34014354445617
2007	249.15825025234935
2008	249.77947034706315
2009	254.66789616969183
2010	249.04748455498557
2011	256.25257035813610
2012	255.86213424739978
2013	251.47520435241512
2014	257.27131934592222
2015	265.49728805590252
