xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=29, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	08.0
cpt:Y	33.619494899999999
cpt:X	-110.92150370000000
1987	267.74781099740858
1988	250.87869050070532
1989	249.67494711741026
1990	253.59754774580156
1991	281.79315622628167
1992	275.84462849507145
1993	255.77434837533806
1994	285.60860088676014
1995	262.78189247440548
1996	261.21290330315702
1997	276.61685815611435
1998	241.60667365551535
1999	266.37504223979715
2000	240.73374097266250
2001	257.48022062225658
2002	250.15252026484836
2003	250.26541657122314
2004	268.14811686944358
2005	251.35758984975735
2006	249.93149459244140
2007	230.74207716736245
2008	263.66084921519968
2009	250.87256060085517
2010	245.77336699060407
2011	242.37384506033135
2012	243.05086043745769
2013	256.34149198863634
2014	257.18514876428759
2015	301.46492317888936
