xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=58, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	01.0
cpt:Y	28.308889059999998
cpt:X	-98.557238400000003
1958	4411.8819503936402
1959	78.359366179519157
1960	72.608447116960647
1961	132.62977673252189
1962	3.9472905431261296
1963	66.244636517632358
1964	32.187444098942905
1965	46.820923210053280
1966	233.63458517287387
1967	70.621055428656589
1968	121.80061071625531
1969	121.03833248019276
1970	45.163467047276455
1971	129.36776056751873
1972	131.00746090262021
1973	296.07360262286375
1974	121.47322684151884
1975	135.43659885812795
1976	38.643754073507665
1977	182.04909685408913
1978	12.964067495349411
1979	100.51063125225704
1980	30.997975261943381
1981	41.727942855334902
1982	143.08944857690983
1983	248.64928789853997
1984	1.2602301440996655
1985	64.893374065311093
1986	61.103708790967893
1987	98.314005800436760
1988	19.008614474276754
1989	-39.977876359064041
1990	18.058041637269355
1991	107.01379340273127
1992	505.35106259529994
1993	80.349934960854625
1994	47.430318186529021
1995	181.45640374631199
1996	32.417493631932786
1997	-14.332012777810462
1998	256.49765841972601
1999	14.317663851379024
2000	-38.247227163307656
2001	51.187123717583574
2002	49.803402354138839
2003	95.594996356329176
2004	76.083721530913280
2005	160.17434671855312
2006	14.957055430929429
2007	105.95837085544063
2008	88.125089039115778
2009	85.186604339835426
2010	-7142.1163345098921
2011	-96.245975206531327
2012	34.959836125348374
2013	0.18011222019941897
2014	34.864824646572146
2015	-13.469418195343820
