xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=prcpanom, cpt:T=1979-01, cpt:nrow=4, cpt:ncol=8, cpt:row=Y, cpt:col=X, cpt:units=mm, cpt:missing=-9999
cpt:field=prcpanom, cpt:T=1986-01, cpt:nrow=4, cpt:ncol=8, cpt:row=Y, cpt:col=X, cpt:units=mm, cpt:missing=-9999
	       -18.75	       -16.25	       -13.75	       -11.25	        -8.75	        -6.25	        -3.75	        -1.25
       -56.25	 -1.73443    	 -2.96897    	 -2.65206    	 -1.23972    	-0.626758    	 -1.16112    	 -1.84249    	 -1.81658    
       -58.75	 -2.37865    	 -1.15208    	-0.330968    	 -1.20501    	 -3.09571    	 -4.83430    	 -5.34781    	 -5.63025    
       -61.25	 -1.76664    	-0.858835    	 -1.09675    	 -2.63098    	 -4.27807    	 -5.87059    	 -6.84563    	 -6.98226    
       -63.75	 -1.83712    	 -2.90861    	 -3.92208    	 -4.83883    	 -5.78029    	 -6.25067    	 -5.99425    	 -5.20397    
cpt:field=prcpanom, cpt:T=1987-01, cpt:nrow=4, cpt:ncol=8, cpt:row=Y, cpt:col=X, cpt:units=mm, cpt:missing=-9999
	       -18.75	       -16.25	       -13.75	       -11.25	        -8.75	        -6.25	        -3.75	        -1.25
       -56.25	 0.692882    	  1.56813    	  1.28952    	 0.103681    	-0.399176    	-0.584999    	-0.685177    	 0.103008    
       -58.75	  1.68067    	  2.07852    	  2.68793    	  3.18566    	  3.70145    	  2.82342    	  1.39402    	  1.06677    
       -61.25	  1.48325    	  2.60403    	  3.24411    	  2.95597    	  2.06625    	 0.567123    	-0.665602    	-0.885217    
       -63.75	  2.22208    	  2.89248    	  2.86368    	  1.67615    	-0.260005    	 -1.74612    	 -2.38615    	 -2.86229    
cpt:field=prcpanom, cpt:T=1988-01, cpt:nrow=4, cpt:ncol=8, cpt:row=Y, cpt:col=X, cpt:units=mm, cpt:missing=-9999
	       -18.75	       -16.25	       -13.75	       -11.25	        -8.75	        -6.25	        -3.75	        -1.25
       -56.25	-0.135846    	 0.661681    	 0.944345    	 0.972933    	 0.911740    	 0.553728    	-0.597246    	 -1.61045    
       -58.75	 0.444660    	  1.77468    	  2.95258    	  2.43728    	 0.814833    	-0.957933    	 -2.51224    	 -3.76050    
       -61.25	 0.122576    	 0.420184    	 0.515336    	-0.396215    	 -1.79598    	 -2.63888    	 -3.58519    	 -4.61700    
       -63.75	 0.720908    	-0.506171    	 -2.12356    	 -3.61661    	 -4.08339    	 -3.84346    	 -4.12570    	 -4.61771    
cpt:field=prcpanom, cpt:T=1989-01, cpt:nrow=4, cpt:ncol=8, cpt:row=Y, cpt:col=X, cpt:units=mm, cpt:missing=-9999
	       -18.75	       -16.25	       -13.75	       -11.25	        -8.75	        -6.25	        -3.75	        -1.25
       -56.25	 -2.66126    	 -1.84924    	 -1.36930    	 -1.21183    	-0.362753    	 0.837228    	 0.527690    	 -1.45464    
       -58.75	 -5.57541    	 -5.02164    	 -3.85230    	 -2.53733    	 -1.99012    	 -1.80833    	 -1.50923    	 -1.33158    
       -61.25	 -3.95943    	 -3.28321    	 -2.73245    	 -2.43354    	 -2.40223    	 -1.53349    	-0.632246    	-0.397450    
       -63.75	 -2.97966    	 -2.79009    	 -3.28093    	 -3.54575    	 -2.58882    	-0.891516    	-0.137287    	-1.182556E-02
