xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=29, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	03.0
cpt:Y	41.780586350000000
cpt:X	-90.252072999999996
1987	32461.201946816815
1988	31900.691470328176
1989	32057.685332013163
1990	32043.640543856625
1991	32212.251648881014
1992	32479.496964159578
1993	32214.618257819500
1994	32589.641255745806
1995	32600.767608013848
1996	32763.974802825898
1997	32150.911171618205
1998	31947.660985797371
1999	31297.620973403617
2000	31343.933140136483
2001	31446.662191876712
2002	31415.568889278718
2003	31973.743034793435
2004	32035.641675587791
2005	32203.898713356044
2006	30987.005693437393
2007	31371.862475452075
2008	31496.065076772386
2009	31781.037048723458
2010	314195.03384323575
2011	32007.321574954822
2012	32062.793147703618
2013	31691.003809259164
2014	32364.601165468692
2015	32280.735673876374
