xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=29, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	03.0
cpt:Y	41.780586350000000
cpt:X	-90.252072999999996
1987	37320.928869378768
1988	34224.702375760069
1989	30734.519518581772
1990	33803.732224539592
1991	33902.819450323877
1992	36009.275072583368
1993	33062.063217482013
1994	32910.746202383103
1995	32576.330636109302
1996	32610.838977523163
1997	30389.598745166757
1998	32460.337710465377
1999	32389.265560222157
2000	30783.169628776432
2001	34133.873410309883
2002	32007.190276501853
2003	32131.950709593890
2004	32353.027576641627
2005	32577.350935429062
2006	31571.356786296248
2007	32766.606733225333
2008	30817.942001471361
2009	29641.884728364610
2010	404324.68714283383
2011	32458.930113545874
2012	32270.193564064448
2013	31310.581102970384
2014	32721.053068931520
2015	33805.912406297262
