xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=29, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	05.0
cpt:Y	41.780586350000000
cpt:X	-90.252072999999996
1987	97675.230059325462
1988	96470.135721956845
1989	100121.47883941351
1990	99584.883821583615
1991	96294.796894781321
1992	103275.60607339432
1993	95683.620890631166
1994	100809.33757687834
1995	96470.141170545990
1996	93083.942295389759
1997	95808.189053296286
1998	100402.38719072402
1999	97230.825473710342
2000	96550.096627557868
2001	99802.030267780021
2002	96266.498293383222
2003	101012.51365441490
2004	92479.276819212071
2005	98563.543642260556
2006	95632.208620490361
2007	93417.360418736367
2008	95929.942720139763
2009	97328.181423922506
2010	1203157.5860514753
2011	95076.502137905511
2012	99749.327034924208
2013	100834.85324746207
2014	106730.16133495561
2015	110569.96521919502
