xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=29, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	05.0
cpt:Y	41.780586350000000
cpt:X	-90.252072999999996
1987	109608.25369591595
1988	93199.103316450666
1989	96054.022049607040
1990	99775.617871671901
1991	109032.57093516590
1992	106313.55365817610
1993	108702.69564373216
1994	99177.651847264089
1995	100400.15019769152
1996	99905.857399876273
1997	99485.513469795740
1998	96843.776224873727
1999	103363.39910579449
2000	99765.816335453346
2001	100410.29468900127
2002	100227.19657639167
2003	99540.870168006324
2004	100366.87653929186
2005	100975.87548034184
2006	98650.386705327619
2007	99266.353469743932
2008	101075.90601385382
2009	100110.03676541269
2010	428096.76749413507
2011	136828.30060196074
2012	104648.61486606429
2013	89541.706372969784
2014	97762.226855229703
2015	104866.54500702259
