xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=29, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	01.0
cpt:Y	41.780586350000000
cpt:X	-90.252072999999996
1987	33075.900062269953
1988	32900.268303962228
1989	31490.697101678474
1990	33661.045713286403
1991	31863.872410294265
1992	33956.819055139327
1993	34644.271531529077
1994	33735.036912506788
1995	33927.991338164647
1996	29473.937356165839
1997	33877.603999458333
1998	35331.858736227208
1999	31973.696476794081
2000	32787.864185928440
2001	31776.512580629496
2002	32727.931093531359
2003	35472.292676116536
2004	31800.373174045038
2005	33191.602256036509
2006	32583.376617734357
2007	34253.952794397621
2008	32610.784754911954
2009	32261.871091007779
2010	457354.92874204728
2011	32322.139801944220
2012	31129.244505825169
2013	31863.241629460972
2014	33043.933394505417
2015	32817.080670592775
