xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=29, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	01.0
cpt:Y	41.780586350000000
cpt:X	-90.252072999999996
1987	33822.751079490445
1988	33256.399725370269
1989	33060.216414511400
1990	33029.468253461069
1991	33784.965030164080
1992	33739.531888852405
1993	34182.725313533083
1994	33750.836152889904
1995	33617.207503488375
1996	32609.454069399741
1997	33871.137643222268
1998	33722.977288792310
1999	31458.816497631673
2000	32528.117298602909
2001	32233.041553389321
2002	32628.966110604597
2003	34178.620016412824
2004	32597.248369019773
2005	32855.683642837270
2006	33196.522686671837
2007	33056.305527393612
2008	33083.317963977272
2009	32435.630336638995
2010	162583.50494783465
2011	32774.890541179979
2012	32233.121959498869
2013	32402.910182048956
2014	31961.385691548221
2015	31766.182252950202
