xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=29, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	05.0
cpt:Y	41.780586350000000
cpt:X	-90.252072999999996
1987	104016.89596782325
1988	97329.834166973291
1989	99711.325091090941
1990	98205.868322438197
1991	94022.048191858907
1992	98979.769950120739
1993	104260.71872029228
1994	115746.69629434880
1995	96555.293073157911
1996	99191.225453848048
1997	97890.502942324369
1998	100569.34714374633
1999	100993.79791376791
2000	93794.833758929715
2001	111250.57589804774
2002	101338.16394062543
2003	99762.618672934666
2004	99397.514894406704
2005	92652.685594055729
2006	93348.528507660420
2007	89738.417998852325
2008	98137.264221097314
2009	93820.583264422734
2010	196310.44658740901
2011	154707.48795455080
2012	62285.850223961257
2013	44466.344558100769
2014	109454.66187225161
2015	130232.13712037474
